Names
CXCL3
MMP12
FST
CXCL2
MMP3
CXCL8
FGF7
DDX5
EDNRB
CCT5
SLC3A2
CXCL5
DCAF13
ACTB
IL1RL1
INHBA
ANXA5
ATP1B3
TNFRSF12A
SFPQ
MMP10
PNO1
MGST1
EIF4A1
EIF3I
HNRNPM
ATP2B1
PHLDA1
SERPINE2
EIF2S1
NOP56
EIF4E
HSPA9
GNL2
C1QBP
SPHK1
GCLM
CCT6A
DNAJA1
PRMT1
BRIX1
GLRX3
TFPI2
CCT2
TYMP
ACTG1
ACRC
PSMC4
TXNRD1
EBNA1BP2
RRP9
RAN
SRM
GPATCH4
LRRC59
DDX39A
CCT7
THAP2
GTPBP4
TOMM40
MCL1
ANXA2
YWHAQ
VIMP
FOSL1
CD59
TUBB6
PUF60
NPM1
PKM
EIF6
CCT4
EIF5A
RRS1
PSMD14
PSMC1
PSMD2
TUBB4B
STRAP
ODC1
CREG1
SNRNP40
VCP
XRCC6
NQO1
ILF2
XRCC5
STIP1
NME1
LTV1
PSMD11
IL13RA2
AKR1B1
CCL2
PPP1R15A
AATF
CYCS
NOP58
TMBIM6
MRPL3
